Date,net_return
2023-10-30,-9.891158050510683e-18
2023-10-31,-4.65700547497773e-18
2023-11-01,1.8060596849064914e-17
2023-11-02,1.8798409901746923e-17
2023-11-03,9.119389080941674e-18
2023-11-06,-4.452043811808055e-18
2023-11-07,-1.9450332089254174e-19
2023-11-08,-1.3523019973644072e-18
2023-11-09,-2.8835433370157723e-18
2023-11-10,1.7298236153645704e-18
2023-11-13,-9.885673043391272e-19
2023-11-14,8.097986189676006e-18
2023-11-15,-2.0271018280598135e-18
2023-11-16,1.442645961815967e-18
2023-11-17,1.163864586790503e-18
2023-11-20,3.039640252288723e-16
2023-11-21,-1.4642988859594253e-16
2023-11-22,1.8982225782398432e-16
2023-11-24,5.438139469449656e-17
2023-11-27,-9.031303763089329e-17
2023-11-28,-3.623379359162723e-17
2023-11-29,1.6564686180199836e-17
2023-11-30,-1.8614068513508874e-17
2023-12-01,2.4712762948486845e-17
2023-12-04,-4.603799501258877e-18
2023-12-05,4.141594455945873e-15
2023-12-06,-5.170930053220113e-15
2023-12-07,7.4169445581444e-15
2023-12-08,8.876015163400128e-15
2023-12-11,9.312998368578047e-15
2023-12-12,-2.4785245459844754e-15
2023-12-13,1.7277869390444463e-17
2023-12-14,5.734095992676929e-18
2023-12-15,3.0980165022904103e-18
2023-12-18,1.7582790038556393e-18
2023-12-19,7.572480407055881e-18
2023-12-20,-6.95159014241706e-18
2023-12-21,6.961491703079919e-18
2023-12-22,3.783764493652372e-18
2023-12-26,5.932353870169946e-18
2023-12-27,9.146147763945645e-18
2023-12-28,-2.6287041645736012e-18
2023-12-29,-1.7840063153660844e-17
2024-01-02,-1.471733588513192e-17
2024-01-03,-7.280932720723115e-18
2024-01-04,-7.106750101265524e-18
2024-01-05,2.45070593067163e-20
2024-01-08,2.7921918355789473e-18
2024-01-09,-4.0772353576999197e-19
2024-01-10,9.026749763254914e-19
2024-01-11,5.240271778769384e-19
2024-01-12,6.663139797401254e-19
2024-01-16,-3.476539867641228e-18
2024-01-17,-1.3622065162063783e-18
2024-01-18,1.0533187900117532e-18
2024-01-19,3.4564564293208657e-15
2024-01-22,1.3743427146696979e-15
2024-01-23,3.5434371839171493e-16
2024-01-24,-3.01664019233733e-16
2024-01-25,2.72750314714896e-15
2024-01-26,-5.48983726568234e-16
2024-01-29,5.179402992881726e-18
2024-01-30,-7.072818564581224e-20
2024-01-31,-3.0171408337304923e-18
2024-02-01,6.991675320382723e-18
2024-02-02,3.7203251148750156e-16
2024-02-05,-3.611992716290419e-16
2024-02-06,2.535732725662822e-16
2024-02-07,4.776804581214956e-16
2024-02-08,-2.0733336978606847e-17
2024-02-09,-7.217607229028695e-17
2024-02-12,-1.8381575698168344e-19
2024-02-13,-4.865903394681794e-18
2024-02-14,3.163954146396546e-18
2024-02-15,2.147776849854036e-18
2024-02-16,-1.3605201174393905e-18
2024-02-20,-2.356360026015069e-20
2024-02-21,-9.301251676925172e-19
2024-02-22,1.1774278510007648e-18
2024-02-23,1.812003598987634e-18
2024-02-26,-2.5318866437323887e-19
2024-02-27,-3.292734269137266e-19
