No,Conflict Type,File,Selected Version,Rejected Version,Reason
1,Same Path Different Content,backtester.py,generated_or_none,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\backtester.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\backtester.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\backtester.py,Selected active integrated package or generated unified doc; older/root variants excluded or merged.
2,Same Path Different Content,ensemble_model.py,generated_or_none,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\ensemble_model.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\ensemble_model.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\ensemble_model.py,Selected active integrated package or generated unified doc; older/root variants excluded or merged.
3,Same Path Different Content,feature_engine.py,generated_or_none,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\feature_engine.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\feature_engine.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\feature_engine.py,Selected active integrated package or generated unified doc; older/root variants excluded or merged.
4,Same Path Different Content,hw_profile.py,generated_or_none,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\hw_profile.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\hw_profile.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\hw_profile.py,Selected active integrated package or generated unified doc; older/root variants excluded or merged.
5,Same Path Different Content,main.py,generated_or_none,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\main.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\main.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\main.py,Selected active integrated package or generated unified doc; older/root variants excluded or merged.
6,Same Path Different Content,recommendation_engine.py,generated_or_none,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\recommendation_engine.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\recommendation_engine.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\recommendation_engine.py,Selected active integrated package or generated unified doc; older/root variants excluded or merged.
7,Same Path Different Content,.pytest_cache/.gitignore,generated_or_none,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\.pytest_cache\.gitignore; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\.pytest_cache\.gitignore,Selected active integrated package or generated unified doc; older/root variants excluded or merged.
8,Same Path Different Content,.pytest_cache/readme.md,generated_or_none,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\.pytest_cache\README.md; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\.pytest_cache\README.md,Selected active integrated package or generated unified doc; older/root variants excluded or merged.
9,Same Path Different Content,.pytest_cache/v/cache/nodeids,generated_or_none,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\.pytest_cache\v\cache\nodeids; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\.pytest_cache\v\cache\nodeids,Selected active integrated package or generated unified doc; older/root variants excluded or merged.
10,Same Name Different Folder,backtester.py,C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060\backtester.py,C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2\backtester.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2\backtester.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\backtester.py; C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch\mnt\user-data\outputs\stock_rtx4060\backtester.py; C:\Users\jichu\Downloads\주식\workspaces\stock_rtx4060_patched\backtester.py,Selected active integrated package or retained source evidence; duplicate role variants excluded.
